global_project_id,report_date,project_name_clean,project_status,sector_clean,agency_clean,annual_outlay,approval_gt_doc_orig,cost_anticipated,cost_escalation_rate_clean,cost_original,cost_overrun_amount_calc,cost_overrun_percent_clean,cost_revised,delay_reason_missing,elapsed_schedule_ratio_clean,expenditure_cumulative,expenditure_ratio,has_clearance_issue,has_land_acquisition_issue,is_ahead_of_schedule,is_revised,month_gap_prev,physical_progress_clean,prev_progress,progress_isna,progress_velocity_clean,project_age_months,project_size_ord,remaining_schedule_months,schedule_slippage_clean,state_clean,time_overrun_months_calc,total_planned_duration_months,time_overrun_prediction,time_overrun_probability,cost_overrun_prediction,cost_overrun_probability,risk_class_prediction,risk_class_probability,risk_class_0_probability,risk_class_1_probability,risk_class_2_probability
fdb6143bd65654ce,2024-04-30,MLD  PHASE II STP  114 MLD AND  PHASE III S,Ongoing,General,Unknown Agency,,0,3.0,-0.7,10.0,-7.0,-70.0,,1,,,,False,False,0,0,,,,1,0.0,,1,-7.0,0.0,Unknown State,78.0,,1,0.4701746708487379,1,0.8985886938500033,2,0.9764355228105228,0.0063030303030303,0.0172614468864468,0.9764355228105228
9515cef5760c496b,2024-04-30,BELONIA,Ongoing,General,Unknown Agency,,0,6.0,-0.6774193548387097,18.6,-12.6,-67.74193548387098,,1,,,,False,False,0,0,,,,1,0.0,,1,1.0,0.0,Unknown State,47.0,,1,0.5198293327050285,1,0.897986423372677,2,0.9755032051282052,0.0084404761904761,0.0160563186813186,0.9755032051282052
4f8cd9849a61c423,2024-04-30,MEHKAR TO AJISPUR,Ongoing,General,Unknown Agency,,0,7.0,-0.6666666666666665,21.0,-14.0,-66.66666666666666,,1,,,,False,False,0,0,,,,1,0.0,,1,-8.0,0.0,Unknown State,1.0,,1,0.5358751049226239,1,0.8947052099371833,2,0.9747239843489844,0.0092196969696969,0.0160563186813186,0.9747239843489844
